policy_chunk,section,value_target,value_condition_declaration,value_action,value_beneficiary,value_assessor,value_type,value_proposition_short,value_proposition_long
university-of-bradford.md-8,Preamble / Introduction / Background,associated materials,if continuing value,should remain accessible,not specified,not specified,conditional value,"associated materials, if continuing value, should remain accessible","associated materials, if continuing value, should remain accessible for the benefit of the not specified"
university-of-bradford.md-12,Roles & Responsibilities,policy,it refers to ethical or normative values,not applicable,not applicable,university management,normative values,"policy, it refers to ethical or normative values, not applicable","policy, it refers to ethical or normative values, not applicable for the benefit of the not applicable"
university-of-bradford.md-13,General provisions / Guiding principles,policy,it refers to ethical or normative values,not applicable,not applicable,university management,normative values,"policy, it refers to ethical or normative values, not applicable","policy, it refers to ethical or normative values, not applicable for the benefit of the not applicable"
university-of-cambridge.md-1,Purpose / Objective,data,is valuable,should be managed,university,university management,normative values,"data, is valuable, should be managed","data, is valuable, should be managed for the benefit of the university"
university-of-cambridge.md-1,Purpose / Objective,data,is valuable,should be published/shared,university,university management,normative values,"data, is valuable, should be published/shared","data, is valuable, should be published/shared for the benefit of the university"
university-of-cambridge.md-1,Purpose / Objective,data,is valuable,should be managed,research community,university management,normative values,"data, is valuable, should be managed","data, is valuable, should be managed for the benefit of the research community"
university-of-cambridge.md-1,Purpose / Objective,data,is valuable,should be published/shared,research community,university management,normative values,"data, is valuable, should be published/shared","data, is valuable, should be published/shared for the benefit of the research community"
university-of-cambridge.md-15,Storage / Safeguarding / Backup,data,if valuable,should be archived,researcher,"funder, legal or discipline requirements",conditional value,"data, if valuable, should be archived","data, if valuable, should be archived for the benefit of the researcher"
university-of-cambridge.md-15,Storage / Safeguarding / Backup,data,if valuable,should be retained,researcher,"funder, legal or discipline requirements",conditional value,"data, if valuable, should be retained","data, if valuable, should be retained for the benefit of the researcher"
university-of-cambridge.md-15,Storage / Safeguarding / Backup,data,if valuable,should be archived,discipline,"funder, legal or discipline requirements",conditional value,"data, if valuable, should be archived","data, if valuable, should be archived for the benefit of the discipline"
university-of-cambridge.md-15,Storage / Safeguarding / Backup,data,if valuable,should be retained,discipline,"funder, legal or discipline requirements",conditional value,"data, if valuable, should be retained","data, if valuable, should be retained for the benefit of the discipline"
university-of-central-lancashire.md-14,IP commercialization / Knowledge transfer,data,if commercially valuable,should be identified,university,research support unit,conditional value,"data, if commercially valuable, should be identified","data, if commercially valuable, should be identified for the benefit of the university"
university-of-central-lancashire.md-14,IP commercialization / Knowledge transfer,data,if commercially valuable,should follow institutional protocol,university,research support unit,conditional value,"data, if commercially valuable, should follow institutional protocol","data, if commercially valuable, should follow institutional protocol for the benefit of the university"
university-of-cumbria.md-0,General provisions / Guiding principles,data,is valuable,should be managed,not specified,university management,intrinsic value,"data, is valuable, should be managed","data, is valuable, should be managed for the benefit of the not specified"
university-of-dundee.md-1,Preamble / Introduction / Background,data,if valuable,this policy applies,future research,not specified,conditional value,"data, if valuable, this policy applies","data, if valuable, this policy applies for the benefit of the future research"
university-of-dundee.md-1,Preamble / Introduction / Background,data,if valuable,this policy applies,discipline,not specified,conditional value,"data, if valuable, this policy applies","data, if valuable, this policy applies for the benefit of the discipline"
university-of-dundee.md-29,"Retention, Archiving, & Disposal",data,if continuing value,should be preserved,researcher,not specified,conditional value,"data, if continuing value, should be preserved","data, if continuing value, should be preserved for the benefit of the researcher"
university-of-dundee.md-29,"Retention, Archiving, & Disposal",data,if continuing value,should be preserved,research community,not specified,conditional value,"data, if continuing value, should be preserved","data, if continuing value, should be preserved for the benefit of the research community"
university-of-dundee.md-31,"Retention, Archiving, & Disposal",data,if no further value,should be destroyed/disposed,not specified,researcher,conditional value,"data, if no further value, should be destroyed/disposed","data, if no further value, should be destroyed/disposed for the benefit of the not specified"
university-of-dundee.md-46,Undergraduate / RDM in education,data,if continuing value,should be retained,pi / supervisor,pi / supervisor,conditional value,"data, if continuing value, should be retained","data, if continuing value, should be retained for the benefit of the pi / supervisor"
university-of-dundee.md-48,Undergraduate / RDM in education,data,if no further value,should be destroyed/disposed,not specified,pi / supervisor,conditional value,"data, if no further value, should be destroyed/disposed","data, if no further value, should be destroyed/disposed for the benefit of the not specified"
university-of-east-anglia.md-2,Preamble / Introduction / Background,data,is a valuable asset,should be managed,university,university management,normative values,"data, is a valuable asset, should be managed","data, is a valuable asset, should be managed for the benefit of the university"
university-of-east-anglia.md-5,Scope & Definitions,data,if substantiates published findings,should be identified,researcher,researcher,conditional value,"data, if substantiates published findings, should be identified","data, if substantiates published findings, should be identified for the benefit of the researcher"
university-of-east-anglia.md-8,General provisions / Guiding principles,data,if commercially valuable,should follow institutional protocol,not specified,not specified,conditional value,"data, if commercially valuable, should follow institutional protocol","data, if commercially valuable, should follow institutional protocol for the benefit of the not specified"
university-of-essex.md-11,Ensuring access / Sharing,data,if valuable,should be covered by written agreements,parties involved,not specified,conditional value,"data, if valuable, should be covered by written agreements","data, if valuable, should be covered by written agreements for the benefit of the parties involved"
university-of-greenwich.md-12,"Retention, Archiving, & Disposal",data,if long-term value,should be retained,not specified,not specified,conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the not specified"
university-of-greenwich.md-12,"Retention, Archiving, & Disposal",data,if long-term value,should be retained,not specified,not specified,conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the not specified"
university-of-helsinki.md-22,IP commercialization / Knowledge transfer,data,if commercially valuable,should follow institutional protocol,not specified,not specified,conditional value,"data, if commercially valuable, should follow institutional protocol","data, if commercially valuable, should follow institutional protocol for the benefit of the not specified"
university-of-helsinki.md-22,IP commercialization / Knowledge transfer,data,if commercially valuable,should remain accessible,not specified,not specified,conditional value,"data, if commercially valuable, should remain accessible","data, if commercially valuable, should remain accessible for the benefit of the not specified"
university-of-helsinki.md-23,"Retention, Archiving, & Disposal",data,if no further value,should be destroyed/disposed,not specified,not specified,conditional value,"data, if no further value, should be destroyed/disposed","data, if no further value, should be destroyed/disposed for the benefit of the not specified"
university-of-helsinki.md-32,Ensuring access / Sharing,data,if long-term value,should be preserved,not specified,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the not specified"
university-of-helsinki.md-32,Ensuring access / Sharing,associated materials,if long-term value,should be preserved,not specified,not specified,conditional value,"associated materials, if long-term value, should be preserved","associated materials, if long-term value, should be preserved for the benefit of the not specified"
university-of-helsinki.md-32,Ensuring access / Sharing,data,if long-term value,should be published/shared,not specified,not specified,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the not specified"
university-of-helsinki.md-32,Ensuring access / Sharing,associated materials,if long-term value,should be published/shared,not specified,not specified,conditional value,"associated materials, if long-term value, should be published/shared","associated materials, if long-term value, should be published/shared for the benefit of the not specified"
university-of-hertfordshire.md-5,Roles & Responsibilities,data,if best practices are followed,value is added,not specified,university management,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the not specified"
university-of-hertfordshire.md-12,Roles & Responsibilities,data,is valuable,"because supports research, science and knowledge",university,researcher,intrinsic value,"data, is valuable, because supports research, science and knowledge","data, is valuable, because supports research, science and knowledge for the benefit of the university"
university-of-huddersfield.md-0,Preamble / Introduction / Background,research outputs,if best practices are followed,value is added,researcher,university management,conditional value,"research outputs, if best practices are followed, value is added","research outputs, if best practices are followed, value is added for the benefit of the researcher"
university-of-huddersfield.md-0,Preamble / Introduction / Background,research outputs,if best practices are followed,value is added,businesses,university management,conditional value,"research outputs, if best practices are followed, value is added","research outputs, if best practices are followed, value is added for the benefit of the businesses"
university-of-huddersfield.md-0,Preamble / Introduction / Background,research outputs,if best practices are followed,value is added,society,university management,conditional value,"research outputs, if best practices are followed, value is added","research outputs, if best practices are followed, value is added for the benefit of the society"
university-of-huddersfield.md-10,Roles & responsibilities,data,if continuing value,should be preserved,not specified,not specified,conditional value,"data, if continuing value, should be preserved","data, if continuing value, should be preserved for the benefit of the not specified"
university-of-huddersfield.md-10,Roles & responsibilities,data,if continuing value,should remain accessible,not specified,not specified,conditional value,"data, if continuing value, should remain accessible","data, if continuing value, should remain accessible for the benefit of the not specified"
university-of-hull.md-3,Preamble / Introduction / Background,data,is valuable,"because supports research, science and knowledge",university,university management,intrinsic value,"data, is valuable, because supports research, science and knowledge","data, is valuable, because supports research, science and knowledge for the benefit of the university"
university-of-hull.md-3,Preamble / Introduction / Background,data,is valuable,"because supports research, science and knowledge",research community,university management,intrinsic value,"data, is valuable, because supports research, science and knowledge","data, is valuable, because supports research, science and knowledge for the benefit of the research community"
university-of-hull.md-7,Scope & Definitions,data,if best practices are followed,value is added,not specified,not specified,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the not specified"
university-of-hull.md-13,Ensuring access / Sharing,data,is valuable,because it supports academic principles,university,not specified,intrinsic value,"data, is valuable, because it supports academic principles","data, is valuable, because it supports academic principles for the benefit of the university"
university-of-hull.md-13,Ensuring access / Sharing,research outputs,is valuable,because it supports academic principles,university,not specified,intrinsic value,"research outputs, is valuable, because it supports academic principles","research outputs, is valuable, because it supports academic principles for the benefit of the university"
university-of-lincoln.md-1,Preamble / Introduction / Background,data,if best practices are followed,value is added,university,university management,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the university"
university-of-liverpool.md-27,Ensuring access / Sharing,data,if long-term value,should be preserved,research community,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the research community"
university-of-liverpool.md-27,Ensuring access / Sharing,research outputs,if long-term value,should be preserved,research community,not specified,conditional value,"research outputs, if long-term value, should be preserved","research outputs, if long-term value, should be preserved for the benefit of the research community"
university-of-liverpool.md-27,Ensuring access / Sharing,data,if long-term value,should be published/shared,research community,not specified,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the research community"
university-of-liverpool.md-27,Ensuring access / Sharing,research outputs,if long-term value,should be published/shared,research community,not specified,conditional value,"research outputs, if long-term value, should be published/shared","research outputs, if long-term value, should be published/shared for the benefit of the research community"
university-of-liverpool.md-27,Ensuring access / Sharing,data,if substantiates published findings,should be preserved,research community,not specified,conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the research community"
university-of-liverpool.md-27,Ensuring access / Sharing,research outputs,if substantiates published findings,should be preserved,research community,not specified,conditional value,"research outputs, if substantiates published findings, should be preserved","research outputs, if substantiates published findings, should be preserved for the benefit of the research community"
university-of-liverpool.md-27,Ensuring access / Sharing,data,if substantiates published findings,should be published/shared,research community,not specified,conditional value,"data, if substantiates published findings, should be published/shared","data, if substantiates published findings, should be published/shared for the benefit of the research community"
university-of-liverpool.md-27,Ensuring access / Sharing,research outputs,if substantiates published findings,should be published/shared,research community,not specified,conditional value,"research outputs, if substantiates published findings, should be published/shared","research outputs, if substantiates published findings, should be published/shared for the benefit of the research community"
university-of-london.md-6,Scope & Definitions,data,is valuable,because validates research findings,education,university management,intrinsic value,"data, is valuable, because validates research findings","data, is valuable, because validates research findings for the benefit of the education"
university-of-london.md-6,Scope & Definitions,data,is valuable,serves as resource for future research and teaching,education,university management,intrinsic value,"data, is valuable, serves as resource for future research and teaching","data, is valuable, serves as resource for future research and teaching for the benefit of the education"
university-of-london.md-6,Scope & Definitions,data,is valuable,because validates research findings,research community,university management,intrinsic value,"data, is valuable, because validates research findings","data, is valuable, because validates research findings for the benefit of the research community"
university-of-london.md-6,Scope & Definitions,data,is valuable,serves as resource for future research and teaching,research community,university management,intrinsic value,"data, is valuable, serves as resource for future research and teaching","data, is valuable, serves as resource for future research and teaching for the benefit of the research community"
university-of-london.md-8,General provisions / Guiding principles,data,if best practices are followed,value is added,not specified,university management,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the not specified"
university-of-milan.md-1,Preamble / Introduction / Background,data,is valuable,"because supports research, science and knowledge",not specified,university management,intrinsic value,"data, is valuable, because supports research, science and knowledge","data, is valuable, because supports research, science and knowledge for the benefit of the not specified"
university-of-nottingham.md-19,Data Management Plan,data,if continuing value,should be retained,general public,researcher,conditional value,"data, if continuing value, should be retained","data, if continuing value, should be retained for the benefit of the general public"
university-of-nottingham.md-22,Data Management Plan,data,is valuable,should be published/shared,general public,researcher,institutional value,"data, is valuable, should be published/shared","data, is valuable, should be published/shared for the benefit of the general public"
university-of-nottingham.md-35,Data Management Plan,data,have long-term value,should follow institutional protocol,not specified,researcher,institutional value,"data, have long-term value, should follow institutional protocol","data, have long-term value, should follow institutional protocol for the benefit of the not specified"
university-of-oxford.md-0,Preamble / Introduction / Background,data,if best practices are followed,value is added,research community,university management,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the research community"
university-of-oxford.md-0,Preamble / Introduction / Background,research outputs,if best practices are followed,value is added,research community,university management,conditional value,"research outputs, if best practices are followed, value is added","research outputs, if best practices are followed, value is added for the benefit of the research community"
university-of-oxford.md-0,Preamble / Introduction / Background,data,if best practices are followed,value is added,businesses,university management,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the businesses"
university-of-oxford.md-0,Preamble / Introduction / Background,research outputs,if best practices are followed,value is added,businesses,university management,conditional value,"research outputs, if best practices are followed, value is added","research outputs, if best practices are followed, value is added for the benefit of the businesses"
university-of-oxford.md-0,Preamble / Introduction / Background,data,if best practices are followed,value is added,society,university management,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the society"
university-of-oxford.md-0,Preamble / Introduction / Background,research outputs,if best practices are followed,value is added,society,university management,conditional value,"research outputs, if best practices are followed, value is added","research outputs, if best practices are followed, value is added for the benefit of the society"
university-of-oxford.md-9,Roles & Responsibilities,data,if continuing value,should be preserved,not specified,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be preserved","data, if continuing value, should be preserved for the benefit of the not specified"
university-of-oxford.md-9,Roles & Responsibilities,data,if continuing value,should remain accessible,not specified,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should remain accessible","data, if continuing value, should remain accessible for the benefit of the not specified"
university-of-portsmouth.md-6,Preamble / Introduction / Background,research outputs,is valuable,not applicable,not specified,alignment to frameworks and norms,normative values,"research outputs, is valuable, not applicable","research outputs, is valuable, not applicable for the benefit of the not specified"
university-of-portsmouth.md-21,"Retention, Archiving, & Disposal",data,if long-term value,should be preserved,not specified,data steward,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the not specified"
university-of-portsmouth.md-21,"Retention, Archiving, & Disposal",data,if long-term value,should be published/shared,not specified,data steward,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the not specified"
university-of-portsmouth.md-21,"Retention, Archiving, & Disposal",data,if substantiates published findings,should be preserved,not specified,data steward,conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the not specified"
university-of-portsmouth.md-21,"Retention, Archiving, & Disposal",data,if substantiates published findings,should be published/shared,not specified,data steward,conditional value,"data, if substantiates published findings, should be published/shared","data, if substantiates published findings, should be published/shared for the benefit of the not specified"
university-of-reading.md-1,Preamble / Introduction / Background,data,is valuable,should be managed,research community,not specified,intrinsic value,"data, is valuable, should be managed","data, is valuable, should be managed for the benefit of the research community"
university-of-reading.md-1,Preamble / Introduction / Background,data,is valuable,should be managed,society,not specified,intrinsic value,"data, is valuable, should be managed","data, is valuable, should be managed for the benefit of the society"
university-of-reading.md-6,Ensuring access / Sharing,data,if long-term value,should be preserved,research community,alignment to frameworks and norms,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the research community"
university-of-reading.md-6,Ensuring access / Sharing,research outputs,if long-term value,should be preserved,research community,alignment to frameworks and norms,conditional value,"research outputs, if long-term value, should be preserved","research outputs, if long-term value, should be preserved for the benefit of the research community"
university-of-reading.md-6,Ensuring access / Sharing,data,if long-term value,should be published/shared,research community,alignment to frameworks and norms,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the research community"
university-of-reading.md-6,Ensuring access / Sharing,research outputs,if long-term value,should be published/shared,research community,alignment to frameworks and norms,conditional value,"research outputs, if long-term value, should be published/shared","research outputs, if long-term value, should be published/shared for the benefit of the research community"
university-of-reading.md-6,Ensuring access / Sharing,data,if substantiates published findings,should be preserved,research community,alignment to frameworks and norms,conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the research community"
university-of-reading.md-6,Ensuring access / Sharing,research outputs,if substantiates published findings,should be preserved,research community,alignment to frameworks and norms,conditional value,"research outputs, if substantiates published findings, should be preserved","research outputs, if substantiates published findings, should be preserved for the benefit of the research community"
university-of-reading.md-6,Ensuring access / Sharing,data,if substantiates published findings,should be published/shared,research community,alignment to frameworks and norms,conditional value,"data, if substantiates published findings, should be published/shared","data, if substantiates published findings, should be published/shared for the benefit of the research community"
university-of-reading.md-6,Ensuring access / Sharing,research outputs,if substantiates published findings,should be published/shared,research community,alignment to frameworks and norms,conditional value,"research outputs, if substantiates published findings, should be published/shared","research outputs, if substantiates published findings, should be published/shared for the benefit of the research community"
university-of-reading.md-6,Ensuring access / Sharing,data,if long-term value,should be preserved,society,alignment to frameworks and norms,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the society"
university-of-reading.md-6,Ensuring access / Sharing,research outputs,if long-term value,should be preserved,society,alignment to frameworks and norms,conditional value,"research outputs, if long-term value, should be preserved","research outputs, if long-term value, should be preserved for the benefit of the society"
university-of-reading.md-6,Ensuring access / Sharing,data,if long-term value,should be published/shared,society,alignment to frameworks and norms,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the society"
university-of-reading.md-6,Ensuring access / Sharing,research outputs,if long-term value,should be published/shared,society,alignment to frameworks and norms,conditional value,"research outputs, if long-term value, should be published/shared","research outputs, if long-term value, should be published/shared for the benefit of the society"
university-of-reading.md-6,Ensuring access / Sharing,data,if substantiates published findings,should be preserved,society,alignment to frameworks and norms,conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the society"
university-of-reading.md-6,Ensuring access / Sharing,research outputs,if substantiates published findings,should be preserved,society,alignment to frameworks and norms,conditional value,"research outputs, if substantiates published findings, should be preserved","research outputs, if substantiates published findings, should be preserved for the benefit of the society"
university-of-reading.md-6,Ensuring access / Sharing,data,if substantiates published findings,should be published/shared,society,alignment to frameworks and norms,conditional value,"data, if substantiates published findings, should be published/shared","data, if substantiates published findings, should be published/shared for the benefit of the society"
university-of-reading.md-6,Ensuring access / Sharing,research outputs,if substantiates published findings,should be published/shared,society,alignment to frameworks and norms,conditional value,"research outputs, if substantiates published findings, should be published/shared","research outputs, if substantiates published findings, should be published/shared for the benefit of the society"
university-of-reading.md-16,IP commercialization / Knowledge transfer,data,if no further value,should be destroyed/disposed,not specified,not specified,conditional value,"data, if no further value, should be destroyed/disposed","data, if no further value, should be destroyed/disposed for the benefit of the not specified"
university-of-reading.md-29,"Retention, Archiving, & Disposal",associated materials,if there are costs,should preserve reproducibility of method rather than data outputs,research community,not specified,conditional value,"associated materials, if there are costs, should preserve reproducibility of method rather than data outputs","associated materials, if there are costs, should preserve reproducibility of method rather than data outputs for the benefit of the research community"
university-of-salford.md-1,Purpose / Objective,data management,is valuable,"because supports research, science and knowledge",university,university management,intrinsic value,"data management, is valuable, because supports research, science and knowledge","data management, is valuable, because supports research, science and knowledge for the benefit of the university"
university-of-salford.md-14,"Retention, Archiving, & Disposal",data,if long-term value,should be retained,not specified,researcher,conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the not specified"
university-of-st-andrews.md-1,General provisions / Guiding principles,research,is valuable,not applicable,not specified,university management,normative values,"research, is valuable, not applicable","research, is valuable, not applicable for the benefit of the not specified"
university-of-st-andrews.md-2,General provisions / Guiding principles,data,is valuable,should be retained,not specified,not specified,intrinsic value,"data, is valuable, should be retained","data, is valuable, should be retained for the benefit of the not specified"
university-of-st-andrews.md-3,General provisions / Guiding principles,data,if best practices are followed,maximises academic value,not specified,not specified,conditional value,"data, if best practices are followed, maximises academic value","data, if best practices are followed, maximises academic value for the benefit of the not specified"
university-of-strathclyde.md-47,Ensuring access / Sharing,data,if long-term value,should be retained,not specified,"funder, legal or discipline requirements",conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the not specified"
university-of-strathclyde.md-47,Ensuring access / Sharing,data,if substantiates published findings,should be retained,not specified,"funder, legal or discipline requirements",conditional value,"data, if substantiates published findings, should be retained","data, if substantiates published findings, should be retained for the benefit of the not specified"
university-of-strathclyde.md-50,"Retention, Archiving, & Disposal",data,if long-term value,should be preserved,future research,"funder, legal or discipline requirements",conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the future research"
university-of-strathclyde.md-50,"Retention, Archiving, & Disposal",data,if long-term value,should remain accessible,future research,"funder, legal or discipline requirements",conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the future research"
university-of-surrey.md-12,General provisions / Guiding principles,data,if long-term value,should be preserved,not specified,"funder, legal or discipline requirements",conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the not specified"
university-of-surrey.md-12,General provisions / Guiding principles,data,if substantiates published findings,should be preserved,not specified,"funder, legal or discipline requirements",conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the not specified"
university-of-the-west-of-england.md-5,General provisions / Guiding principles,data,is a valuable asset,because it is expensive to produce,not specified,university management,intrinsic value,"data, is a valuable asset, because it is expensive to produce","data, is a valuable asset, because it is expensive to produce for the benefit of the not specified"
university-of-the-west-of-england.md-11,"Retention, Archiving, & Disposal",data,if no further value,should be destroyed/disposed,not specified,not specified,conditional value,"data, if no further value, should be destroyed/disposed","data, if no further value, should be destroyed/disposed for the benefit of the not specified"
university-of-the-west-of-scotland-uws.md-1,General provisions / Guiding principles,data,if long-term value,should be preserved,not specified,researcher,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the not specified"
university-of-the-west-of-scotland-uws.md-1,General provisions / Guiding principles,data,if long-term value,should be published/shared,not specified,researcher,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the not specified"
university-of-twente.md-18,Roles & Responsibilities,data,is a valuable asset,should be identified,not specified,not specified,intrinsic value,"data, is a valuable asset, should be identified","data, is a valuable asset, should be identified for the benefit of the not specified"
university-of-twente.md-18,Roles & Responsibilities,associated materials,is a valuable asset,should be identified,not specified,not specified,intrinsic value,"associated materials, is a valuable asset, should be identified","associated materials, is a valuable asset, should be identified for the benefit of the not specified"
university-of-worcester.md-5,Preamble / Introduction / Background,data,is a valuable asset,because underpins research excellence in the university,university,university management,intrinsic value,"data, is a valuable asset, because underpins research excellence in the university","data, is a valuable asset, because underpins research excellence in the university for the benefit of the university"
university-of-worcester.md-13,"Retention, Archiving, & Disposal",data,if no further value,should be destroyed/disposed,not specified,not specified,conditional value,"data, if no further value, should be destroyed/disposed","data, if no further value, should be destroyed/disposed for the benefit of the not specified"
university-of-york.md-0,Preamble / Introduction / Background,data,is a valuable asset,because underpins research excellence in the university,university,university management,intrinsic value,"data, is a valuable asset, because underpins research excellence in the university","data, is a valuable asset, because underpins research excellence in the university for the benefit of the university"
university-of-york.md-2,Preamble / Introduction / Background,research,it refers to ethical or normative values,not applicable,not applicable,university management,normative values,"research, it refers to ethical or normative values, not applicable","research, it refers to ethical or normative values, not applicable for the benefit of the not applicable"
university-of-york.md-12,Roles & Responsibilities,data,if continuing value,should be preserved,researcher,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be preserved","data, if continuing value, should be preserved for the benefit of the researcher"
university-of-york.md-12,Roles & Responsibilities,data,if continuing value,should remain accessible,researcher,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should remain accessible","data, if continuing value, should remain accessible for the benefit of the researcher"
university-of-york.md-12,Roles & Responsibilities,data,if continuing value,should be preserved,research community,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be preserved","data, if continuing value, should be preserved for the benefit of the research community"
university-of-york.md-12,Roles & Responsibilities,data,if continuing value,should remain accessible,research community,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should remain accessible","data, if continuing value, should remain accessible for the benefit of the research community"
universität-bayreuth.md-19,Preamble / Introduction / Background,associated materials,not applicable,not applicable,not applicable,not applicable,definition,"associated materials, not applicable, not applicable","associated materials, not applicable, not applicable for the benefit of the not applicable"
universität-graz.md-1,Preamble / Introduction / Background,data,have long-term value,because underpins research excellence in the university,academia,not specified,intrinsic value,"data, have long-term value, because underpins research excellence in the university","data, have long-term value, because underpins research excellence in the university for the benefit of the academia"
universität-graz.md-1,Preamble / Introduction / Background,data,have long-term value,because underpins research excellence in the university,society,not specified,intrinsic value,"data, have long-term value, because underpins research excellence in the university","data, have long-term value, because underpins research excellence in the university for the benefit of the society"
universität-rostock.md-1,Preamble / Introduction / Background,data,is valuable,serves as resource for future research and teaching,not specified,university management,intrinsic value,"data, is valuable, serves as resource for future research and teaching","data, is valuable, serves as resource for future research and teaching for the benefit of the not specified"
wrexham-university.md-3,Preamble / Introduction / Background,data,is a valuable asset,because it supports academic principles,university,university management,intrinsic value,"data, is a valuable asset, because it supports academic principles","data, is a valuable asset, because it supports academic principles for the benefit of the university"
wrexham-university.md-34,Ensuring access / Sharing,data,if long-term value,should be preserved,future research,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the future research"
wrexham-university.md-34,Ensuring access / Sharing,data,if long-term value,should remain accessible,future research,not specified,conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the future research"
